dataset	model	stratification	crossvalidation	run_id	population_id	population_name	population	tp	fp	fn	tn	tpr	fpr	fnr	tnr
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-1	run0	6	Naive CD8+ T cells	Naive CD8+ T cells	50251	11221	1530	524252	0.9704524825708272	0.020955304936009847	0.029547517429172863	0.9790446950639902
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-1	run0	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	1656	6140	1129	578329	0.5946140035906643	0.01050526204127165	0.4053859964093357	0.9894947379587283
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-1	run0	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	27699	1526	11962	546067	0.6983938882025164	0.0027867412476054298	0.3016061117974837	0.9972132587523945
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-1	run0	5	Naive CD4+ T cells	Naive CD4+ T cells	162963	1126	6140	417025	0.9636907683482848	0.0026928071438308172	0.03630923165171523	0.9973071928561692
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-1	run0	4	NK cells	NK cells	120760	535	0	465959	1	0.001146852907004163	0	0.9988531470929959
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-2	run0	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	335	30415	622	609537	0.3500522466039707	0.047527002025151886	0.6499477533960293	0.9524729979748481
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-2	run0	6	Naive CD8+ T cells	Naive CD8+ T cells	50793	7360	7029	575727	0.8784372730102729	0.012622473147231889	0.12156272698972709	0.9873775268527681
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-2	run0	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	7886	7040	7088	618895	0.5266461867236544	0.011247174227355876	0.4733538132763457	0.9887528257726441
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-2	run0	5	Naive CD4+ T cells	Naive CD4+ T cells	192984	1201	29831	416893	0.8661176312187241	0.002872559759288581	0.13388236878127593	0.9971274402407114
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-2	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	113327	2	1139	526441	0.9900494469973616	3.7990817619381394e-6	0.009950553002638338	0.999996200918238
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-3	run0	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	2678	139397	34	527092	0.9874631268436578	0.20915123880514158	0.012536873156342183	0.7908487611948585
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-3	run0	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	39293	22885	76	606947	0.9980695471055907	0.03633508618171195	0.0019304528944093069	0.963664913818288
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-3	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	12202	76	0	656923	1	1.1567749722602317e-4	0	0.9998843225027739
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-3	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	124993	36	0	544172	1	6.615117749095933e-5	0	0.999933848822509
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-3	run0	1	B cells	B cells	106867	0	2	562332	0.999981285499069	0	1.871450093104642e-5	1
