dataset	model	stratification	stratification_hash	crossvalidation	run_id	n_cells_total	f1_macro	f1_macro_known_conditional	f1_macro_known_open_set	precision_macro	recall_macro	balanced_accuracy	n_cells
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-1	run0	587254	0.8694291666940988	0.8694291666940988	0.8694291666940988	0.8722033720670497	0.892754594887817	0.9442673572299831	587254
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-1	run0	587254	0.8694291666940988	0.8694291666940988	0.8694291666940988	0.8722033720670497	0.892754594887817	0.9442673572299831	587254
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	num-1	run0	587254	0.8694291666940988	0.8694291666940988	0.8694291666940988	0.8722033720670497	0.892754594887817	0.9442673572299831	587254
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-2	run0	640909	0.7880713215059026	0.7880713215059026	0.7880713215059026	0.8017879709330018	0.8153883753185194	0.903239508181616	640909
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-2	run0	640909	0.7880713215059026	0.7880713215059026	0.7880713215059026	0.8017879709330018	0.8153883753185194	0.903239508181616	640909
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	num-2	run0	640909	0.7880713215059026	0.7880713215059026	0.7880713215059026	0.8017879709330018	0.8153883753185194	0.903239508181616	640909
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-3	run0	669201	0.764154134855989	0.764154134855989	0.764154134855989	0.8306415699730301	0.8703456009678151	0.9198353922342721	669201
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-3	run0	669201	0.764154134855989	0.764154134855989	0.764154134855989	0.8306415699730301	0.8703456009678151	0.9198353922342721	669201
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	num-3	run0	669201	0.764154134855989	0.764154134855989	0.764154134855989	0.8306415699730301	0.8703456009678151	0.9198353922342721	669201
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-4	run0	626922	0.8535055945014108	0.8535055945014108	0.8535055945014108	0.8641224630170843	0.8497603937972749	0.9230600311111218	626922
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-4	run0	626922	0.8535055945014108	0.8535055945014108	0.8535055945014108	0.8641224630170843	0.8497603937972749	0.9230600311111218	626922
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	num-4	run0	626922	0.8535055945014108	0.8535055945014108	0.8535055945014108	0.8641224630170843	0.8497603937972749	0.9230600311111218	626922
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-5	run0	560939	0.6643351008966152	0.6643351008966152	0.6643351008966152	0.8257386833669141	0.7837129552556171	0.8734664047961871	560939
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-5	run0	560939	0.6643351008966152	0.6643351008966152	0.6643351008966152	0.8257386833669141	0.7837129552556171	0.8734664047961871	560939
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	num-5	run0	560939	0.6643351008966152	0.6643351008966152	0.6643351008966152	0.8257386833669141	0.7837129552556171	0.8734664047961871	560939
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-1	run0	587254	0.807614879591062	0.807614879591062	0.807614879591062	0.8536694178268502	0.8065673903776388	0.8989966570696678	587254
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-1	run0	587254	0.807614879591062	0.807614879591062	0.807614879591062	0.8536694178268502	0.8065673903776388	0.8989966570696678	587254
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	num-1	run0	587254	0.807614879591062	0.807614879591062	0.807614879591062	0.8536694178268502	0.8065673903776388	0.8989966570696678	587254
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-2	run0	640909	0.810813472257111	0.810813472257111	0.810813472257111	0.9812720454363381	0.7878216518521333	0.8937803606684281	640909
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-2	run0	640909	0.810813472257111	0.810813472257111	0.810813472257111	0.9812720454363381	0.7878216518521333	0.8937803606684281	640909
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	num-2	run0	640909	0.810813472257111	0.810813472257111	0.810813472257111	0.9812720454363381	0.7878216518521333	0.8937803606684281	640909
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-3	run0	669201	0.7659452630159063	0.7659452630159063	0.7659452630159063	0.830606473042665	0.8632425112182536	0.9174727482520082	669201
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-3	run0	669201	0.7659452630159063	0.7659452630159063	0.7659452630159063	0.830606473042665	0.8632425112182536	0.9174727482520082	669201
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	num-3	run0	669201	0.7659452630159063	0.7659452630159063	0.7659452630159063	0.830606473042665	0.8632425112182536	0.9174727482520082	669201
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-4	run0	626922	0.8482157757958328	0.8482157757958328	0.8482157757958328	0.8776984798083307	0.8418849343675572	0.9194390982937424	626922
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-4	run0	626922	0.8482157757958328	0.8482157757958328	0.8482157757958328	0.8776984798083307	0.8418849343675572	0.9194390982937424	626922
