model	stratification	median_f1_macro	mean_f1_macro	median_f1_macro_known_conditional	mean_f1_macro_known_conditional	median_f1_macro_known_open_set	mean_f1_macro_known_open_set	median_precision_macro	mean_precision_macro	median_recall_macro	mean_recall_macro	median_balanced_accuracy	mean_balanced_accuracy	n_runs
cyanno	drop-both	0.9234250382814316	0.836140550705455	0.9234250382814316	0.836140550705455	0.9234250382814316	0.836140550705455	0.9717576763323494	0.9118233233535774	0.892754594887817	0.8161262524091033	0.9442673572299831	0.9054357632391765	77
cyanno	drop-train	0.9234250382814316	0.8361405269536435	0.9234250382814316	0.8361405269536435	0.807931833501083	0.7417317691848819	0.9717576763323494	0.911823278389937	0.892754594887817	0.8161262524091033	0.9442673572299831	0.9054357594894045	77
cyanno	unfiltered	0.9234250382814316	0.8361405410317991	0.9234250382814316	0.8361405410317991	0.807931833501083	0.7417317580093122	0.9717576763323494	0.9118233184120762	0.892754594887817	0.8161262387661365	0.9442673572299831	0.9054357556397913	77
cygate	drop-both	0.7967394676476627	0.7539309874457708	0.7967394676476627	0.7539309874457708	0.7967394676476627	0.7539309874457708	0.8401774185868409	0.808904024933149	0.7859427585519226	0.7662621968424872	0.8846896673220108	0.8771196655196352	77
cygate	drop-train	0.7901104790271483	0.7325940650820568	0.7901104790271483	0.7325940650820568	0.7618804709177454	0.6420226598980618	0.8348940608766714	0.7931767905971706	0.7816407295969476	0.7489500184706849	0.8809760568344203	0.8682767322158107	77
cygate	unfiltered	0.7926512142962426	0.7608179145709592	0.7926512142962426	0.7608179145709592	0.7698873625505951	0.6591015641207787	0.8374488347828457	0.8045890943537682	0.7847154569746168	0.7793499927349054	0.8848951933327036	0.8836698175196215	77
dgcytof	drop-both	0.8899775518253106	0.8300611040620869	0.8899775518253106	0.8300611040620869	0.8899775518253106	0.8300611040620869	0.9521672313140916	0.8963558638391863	0.8672103543380834	0.8111222645427989	0.9303353022777628	0.9030665546912758	77
dgcytof	drop-train	0.8899775518253106	0.8300611040620869	0.8899775518253106	0.8300611040620869	0.7920219425309758	0.6958489523270477	0.9521672313140916	0.8963558638391863	0.8672103543380834	0.8111222645427989	0.9303353022777628	0.9030665546912758	77
dgcytof	unfiltered	0.8899775518253106	0.8300611040620869	0.8899775518253106	0.8300611040620869	0.7920219425309758	0.6958489523270477	0.9521672313140916	0.8963558638391863	0.8672103543380834	0.8111222645427989	0.9303353022777628	0.9030665546912758	77
gatemeclass[E]	drop-both	0.6655785385177295	0.6525804581399456	0.6655785385177295	0.6525804581399456	0.6655785385177295	0.6525804581399456	0.6811935420556067	0.6825672191164658	0.7274516535043671	0.6946255349594109	0.8440497506759896	0.8351952352608105	57
