model	stratification	median_f1_weighted	mean_f1_weighted	median_precision_weighted	mean_precision_weighted	median_recall_weighted	mean_recall_weighted	n_runs
cyanno	drop-both	0.9843238061895824	0.95559422267261	0.989800095956379	0.9754730860015286	0.9794207714308727	0.9489970653672044	77
cyanno	drop-train	0.9843238061895824	0.9555942073038378	0.989800095956379	0.9754730569074974	0.9794207714308727	0.9489970653672044	77
cyanno	unfiltered	0.9843238061895824	0.9555942164423336	0.989800095956379	0.9754730806062357	0.9794207714308727	0.9489970588381866	77
cygate	drop-both	0.9148348391099952	0.902601027394202	0.9548305045416342	0.946139190077723	0.9044010695102711	0.8832161553627784	77
cygate	drop-train	0.9112302018329489	0.8881239006101563	0.9550310293234383	0.9429102931164175	0.8906835667984857	0.8632064300308095	77
cygate	unfiltered	0.9125119761566121	0.907020865287537	0.9597348143164608	0.9452504765045746	0.9068159622918144	0.8888658678397096	77
dgcytof	drop-both	0.9743779614369588	0.9504702997235422	0.9865911851264622	0.9714745180107445	0.9694122229604925	0.9427200847323862	77
dgcytof	drop-train	0.9743779614369588	0.9504702997235422	0.9865911851264622	0.9714745180107445	0.9694122229604925	0.9427200847323862	77
dgcytof	unfiltered	0.9743779614369588	0.9504702997235422	0.9865911851264622	0.9714745180107445	0.9694122229604925	0.9427200847323862	77
gatemeclass[E]	drop-both	0.802312432374167	0.8069061821702028	0.8328678030201554	0.8431742075870491	0.8264289198996955	0.8083085368910907	57
gatemeclass[E]	drop-train	0.8015990853284144	0.8067077360966723	0.8328678030201554	0.8398194184120101	0.825837102426006	0.8087192572020526	57
gatemeclass[E]	unfiltered	0.8015990853284144	0.8067077360966723	0.8328678030201554	0.8398194184120101	0.825837102426006	0.8087192572020526	57
gatemeclass[V]	drop-both	0.8120344839611083	0.7999648093781709	0.8831213869976292	0.85044177342905	0.8096269424440955	0.7988808084562443	57
gatemeclass[V]	drop-train	0.8113416128409621	0.797956645568366	0.885018378470557	0.8449832165147135	0.8106965240916191	0.7977961903722322	57
gatemeclass[V]	unfiltered	0.8113416128409621	0.797956645568366	0.885018378470557	0.8449832165147135	0.8106965240916191	0.7977961903722322	57
knn	drop-both	0.870773956687351	0.8202555323243864	0.9276981441445821	0.9274724661809569	0.8326110225718419	0.78752894322905	77
knn	drop-train	0.870773956687351	0.8202555323243864	0.9276981441445821	0.9274724661809569	0.8326110225718419	0.78752894322905	77
knn	unfiltered	0.870773956687351	0.8202555323243864	0.9276981441445821	0.9274724661809569	0.8326110225718419	0.78752894322905	77
lda	drop-both	0.9472865456407097	0.9299242932199864	0.9601420526863244	0.952468314906678	0.9419583618770505	0.9180418521227752	77
lda	drop-train	0.9472865456407097	0.9299242932199864	0.9601420526863244	0.952468314906678	0.9419583618770505	0.9180418521227752	77
lda	unfiltered	0.9472865456407097	0.9299242932199864	0.9601420526863244	0.952468314906678	0.9419583618770505	0.9180418521227752	77
random	drop-both	0.22357983026247022	0.18248164643777406	0.3251774840393317	0.3178146596164457	0.1997567353415013	0.15441952746079032	77
random	drop-train	0.22351784235507532	0.18255078552035583	0.3250453459373177	0.31791745361705187	0.19980205507956295	0.15449439377548152	77
random	unfiltered	0.22351784235507532	0.18255078552035583	0.3250453459373177	0.31791745361705187	0.19980205507956295	0.15449439377548152	77
