dataset	model	stratification	crossvalidation	run_id	population_id	population_name	population	tp	fp	fn	tn	tpr	fpr	fnr	tnr
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-1	run0	1	B cells	B cells	90600	0	1	496653	0.9999889625942319	0	1.1037405768148255e-5	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-1	run0	1	B cells	B cells	90600	0	1	496653	0.9999889625942319	0	1.1037405768148255e-5	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-1	run0	1	B cells	B cells	90600	0	1	496653	0.9999889625942319	0	1.1037405768148255e-5	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-1	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	102110	0	6	485138	0.9999412432919424	0	5.875670805750323e-5	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-1	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	102110	0	6	485138	0.9999412432919424	0	5.875670805750323e-5	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-1	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	102110	0	6	485138	0.9999412432919424	0	5.875670805750323e-5	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-1	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	10436	13	11	576794	0.9989470661433905	2.253786795236535e-5	0.001052933856609553	0.9999774621320476
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-1	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	10436	13	11	576794	0.9989470661433905	2.253786795236535e-5	0.001052933856609553	0.9999774621320476
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-1	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	10436	13	11	576794	0.9989470661433905	2.253786795236535e-5	0.001052933856609553	0.9999774621320476
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-1	run0	4	NK cells	NK cells	120760	48	0	466446	1	1.0289521408635481e-4	0	0.9998971047859136
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-1	run0	4	NK cells	NK cells	120760	48	0	466446	1	1.0289521408635481e-4	0	0.9998971047859136
