dataset	model	stratification	population_id	population_name	population	f1_mean	f1_sd	precision_sd	recall_sd	balanced_accuracy_ovr_sd	n_runs
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	1	B cells	B cells	0.9997009512106196	3.4814083273476687e-4	0	6.95689031639361e-4	3.478445158196722e-4	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	0.9958729519622114	0.008992970589332485	1.3219003493798487e-4	0.01767613143510749	0.008831676205747447	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	0.9940295513703145	0.009413513367858868	0.0022986281771818803	0.01952414888714115	0.009750222018250264	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	4	NK cells	NK cells	0.9998998493785436	1.3922378685444245e-4	2.783713124881912e-4	0	3.2495137977621244e-5	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	5	Naive CD4+ T cells	Naive CD4+ T cells	0.7413367252840596	0.3221228872463302	0.003736050772980727	0.3795573177514607	0.18904794737027966	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	6	Naive CD8+ T cells	Naive CD8+ T cells	0.7394934820230695	0.2658687154691578	0.08541255720925506	0.3432722976739642	0.16759688001442705	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	0.1079145239585448	0.11619043458990448	0.08831038375945054	0.3658053778857721	0.13130675205082443	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	0.7249444743390633	0.11471860604453515	0.20340440014218303	0.21284938782333856	0.09806558537309507	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	1	B cells	B cells	0.9997009512106196	3.4814083273476687e-4	0	6.95689031639361e-4	3.478445158196722e-4	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	0.9958729519622114	0.008992970589332485	1.3219003493798487e-4	0.01767613143510749	0.008831676205747447	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	0.9940295513703145	0.009413513367858868	0.0022986281771818803	0.01952414888714115	0.009750222018250264	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	4	NK cells	NK cells	0.9998998493785436	1.3922378685444245e-4	2.783713124881912e-4	0	3.2495137977621244e-5	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	5	Naive CD4+ T cells	Naive CD4+ T cells	0.7413367252840596	0.3221228872463302	0.003736050772980727	0.3795573177514607	0.18904794737027966	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	6	Naive CD8+ T cells	Naive CD8+ T cells	0.7394934820230695	0.2658687154691578	0.08541255720925506	0.3432722976739642	0.16759688001442705	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	0.1079145239585448	0.11619043458990448	0.08831038375945054	0.3658053778857721	0.13130675205082443	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	0.7249444743390633	0.11471860604453515	0.20340440014218303	0.21284938782333856	0.09806558537309507	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	1	B cells	B cells	0.9997009512106196	3.4814083273476687e-4	0	6.95689031639361e-4	3.478445158196722e-4	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	0.9958729519622114	0.008992970589332485	1.3219003493798487e-4	0.01767613143510749	0.008831676205747447	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	0.9940295513703145	0.009413513367858868	0.0022986281771818803	0.01952414888714115	0.009750222018250264	5
