dataset	model	stratification	population_id	population_name	population	median_f1	mean_f1	median_precision	mean_precision	median_recall	mean_recall	median_specificity	mean_specificity	median_balanced_accuracy_ovr	mean_balanced_accuracy_ovr	median_support	n_runs
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	1	B cells	B cells	0.9998409647532455	0.9997936922373447	0.9999889625942319	0.9999772881058241	0.9997546525152661	0.999610280341473	0.9999979865217767	0.9999951979460733	0.9998695874276667	0.9998027391437732	106869	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	0.999856012670885	0.99891897641883	0.9998475284359467	0.9998380021244659	1	0.9980098893994723	0.9999716209006391	0.9999607352668344	0.9999669244112546	0.9989853123331534	114466	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	0.9935483870967742	0.9932433331684535	0.9938100667861215	0.9918652538324758	0.999917810470946	0.9947503230780107	0.9998843225027739	0.9998450713378623	0.9998312120894229	0.9972976972079365	10802	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	4	NK cells	NK cells	0.9996885037456147	0.9991851259548896	0.9993772014906325	0.9983732032394114	1	1	0.9998682661886817	0.9996053438986666	0.9999341330943409	0.9998026719493333	108830	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	5	Naive CD4+ T cells	Naive CD4+ T cells	0.9255827338129498	0.7417459091130351	0.9938151762494528	0.9952208457838292	0.8661176312187241	0.6698883976619849	0.9973071928561692	0.9979028848068825	0.9316225357297178	0.8338956412344337	196046	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	6	Naive CD8+ T cells	Naive CD8+ T cells	0.8759301573615004	0.7374457389720084	0.8734373119185597	0.9019183580592481	0.8784372730102729	0.7183937220729122	0.9873775268527681	0.9893196512072451	0.9329073999315205	0.8538566866400786	53013	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	0.036992271405581985	0.12551230485609216	0.01884919936653176	0.09217184011270621	0.5946140035906643	0.6326762562457408	0.9524729979748481	0.8955332917665048	0.7920543707746963	0.7641047740061228	2712	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	0.7738879533614977	0.7310941272791557	0.6319437743253241	0.729607628823871	0.7032101605080254	0.7848531688673073	0.9887528257726441	0.9805947198201422	0.850334046866385	0.8827239443437247	39369	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	1	B cells	B cells	0.9998409647532455	0.9997936922373447	0.9999889625942319	0.9999772881058241	0.9997546525152661	0.999610280341473	0.9999979865217767	0.9999951979460733	0.9998695874276667	0.9998027391437732	106869	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	0.999856012670885	0.99891897641883	0.9998475284359467	0.9998380021244659	1	0.9980098893994723	0.9999716209006391	0.9999607352668344	0.9999669244112546	0.9989853123331534	114466	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	0.9935483870967742	0.9932433331684535	0.9938100667861215	0.9918652538324758	0.999917810470946	0.9947503230780107	0.9998843225027739	0.9998450713378623	0.9998312120894229	0.9972976972079365	10802	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	4	NK cells	NK cells	0.9996885037456147	0.9991851259548896	0.9993772014906325	0.9983732032394114	1	1	0.9998682661886817	0.9996053438986666	0.9999341330943409	0.9998026719493333	108830	5
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	5	Naive CD4+ T cells	Naive CD4+ T cells	0.9255827338129498	0.7417459091130351	0.9938151762494528	0.9952208457838292	0.8661176312187241	0.6698883976619849	0.9973071928561692	0.9979028848068825	0.9316225357297178	0.8338956412344337	196046	5
