collector_dataset_identity	dataset	dataset_sub_sampling	model	requested_fold	effective_fold	wrapped_fold	stratification	stratification_hash	status	reason	selected_for_effective	prediction_path	metric_path	metadata_path	performance_path	model_wall_seconds
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	15723074	not_applicable	cyanno	1	1	FALSE	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	completed	NA	TRUE	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/cyanno/default/data_import_predicted_labels.tar.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/cyanno/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/data_import.metadata.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/cyanno/default/data_import_performance.txt	10.24
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	15723074	not_applicable	cydefine[3f57bdcdec41]	1	1	FALSE	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	completed	NA	TRUE	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/cydefine/.3f57bdcdec415865ee148d26c25fc5cf81e2c61410273329189cb4c372f48161/data_import_predicted_labels.tar.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/cydefine/.3f57bdcdec415865ee148d26c25fc5cf81e2c61410273329189cb4c372f48161/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/data_import.metadata.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/cydefine/.3f57bdcdec415865ee148d26c25fc5cf81e2c61410273329189cb4c372f48161/data_import_performance.txt	42.26
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	15723074	not_applicable	cygate	1	1	FALSE	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	completed	NA	TRUE	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/cygate/default/data_import_predicted_labels.tar.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/cygate/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/data_import.metadata.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/cygate/default/data_import_performance.txt	20.39
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	15723074	not_applicable	dgcytof	1	1	FALSE	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	completed	NA	TRUE	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/dgcytof/default/data_import_predicted_labels.tar.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/dgcytof/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/data_import.metadata.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/dgcytof/default/data_import_performance.txt	40.76
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	15723074	not_applicable	gatemeclass[E]	1	1	FALSE	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	completed	NA	TRUE	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/gatemeclass/.403b8ea3088fca937abc4d8eb5fbf6be4032d3e90324321d6c3e85108482f780/data_import_predicted_labels.tar.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/gatemeclass/.403b8ea3088fca937abc4d8eb5fbf6be4032d3e90324321d6c3e85108482f780/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/data_import.metadata.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/gatemeclass/.403b8ea3088fca937abc4d8eb5fbf6be4032d3e90324321d6c3e85108482f780/data_import_performance.txt	149.89
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	15723074	not_applicable	gatemeclass[V]	1	1	FALSE	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	completed	NA	TRUE	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/gatemeclass/.fc5c9200756e411c384046349c9244572ee0e54d0d52a2f1a5e4e8150b10e341/data_import_predicted_labels.tar.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/gatemeclass/.fc5c9200756e411c384046349c9244572ee0e54d0d52a2f1a5e4e8150b10e341/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/data_import.metadata.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/gatemeclass/.fc5c9200756e411c384046349c9244572ee0e54d0d52a2f1a5e4e8150b10e341/data_import_performance.txt	154.43
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	15723074	not_applicable	knn	1	1	FALSE	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	completed	NA	TRUE	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/knn/default/data_import_predicted_labels.tar.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/knn/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/data_import.metadata.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/knn/default/data_import_performance.txt	4.75
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	15723074	not_applicable	lda	1	1	FALSE	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	completed	NA	TRUE	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/lda/default/data_import_predicted_labels.tar.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/lda/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/data_import.metadata.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/lda/default/data_import_performance.txt	8.13
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	15723074	not_applicable	random	1	1	FALSE	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	completed	NA	TRUE	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/random/default/data_import_predicted_labels.tar.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/random/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/data_import.metadata.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/random/default/data_import_performance.txt	14.12
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	15723074	not_applicable	cyanno	1	1	FALSE	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	completed	NA	TRUE	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79/analysis/cyanno/default/data_import_predicted_labels.tar.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79/analysis/cyanno/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79/data_import.metadata.json.gz	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79/analysis/cyanno/default/data_import_performance.txt	10.88
