dataset	model	crossvalidation	n_cells	f1_macro_median	f1_weighted_median	runtime_seconds
dataset_name-BodenmillerXL_seed-42	cyanno	num-1	162079	0.8216039240493691	0.9026335637064141	NA
dataset_name-BodenmillerXL_seed-42	cyanno	num-2	157208	0.8842554979575122	0.9217907548330515	NA
dataset_name-BodenmillerXL_seed-42	cyanno	num-3	159648	0.8797331721650269	0.922130220975468	NA
dataset_name-BodenmillerXL_seed-42	cyanno	num-4	160075	0.8385148362368967	0.89766999097574	NA
dataset_name-BodenmillerXL_seed-42	cyanno	num-5	157517	0.8563224287925291	0.914040413098999	NA
dataset_name-BodenmillerXL_seed-42	cygate	num-1	162079	0.7601495055841239	0.7491692983615243	NA
dataset_name-BodenmillerXL_seed-42	cygate	num-2	157208	0.7881810743855081	0.8353296544675531	NA
dataset_name-BodenmillerXL_seed-42	cygate	num-3	159648	0.7823011982146223	0.7650096089046425	NA
dataset_name-BodenmillerXL_seed-42	cygate	num-4	160075	0.8050942651807488	0.8113539489561602	NA
dataset_name-BodenmillerXL_seed-42	cygate	num-5	157517	0.7904181339507336	0.8225973145255138	NA
dataset_name-BodenmillerXL_seed-42	dgcytof	num-1	162079	0.8786311484026579	0.9151447136921281	NA
dataset_name-BodenmillerXL_seed-42	dgcytof	num-2	157208	0.8895787658273129	0.9144665680098657	NA
dataset_name-BodenmillerXL_seed-42	dgcytof	num-3	159648	0.894479457525575	0.9170691225013755	NA
dataset_name-BodenmillerXL_seed-42	dgcytof	num-4	160075	0.8803137626658853	0.9132143435451119	NA
dataset_name-BodenmillerXL_seed-42	dgcytof	num-5	157517	0.8962786858674024	0.9184032699016975	NA
dataset_name-BodenmillerXL_seed-42	gatemeclass[E]	num-1	162079	0.6130637178918602	0.7543783876757549	NA
dataset_name-BodenmillerXL_seed-42	gatemeclass[E]	num-2	157208	0.6047652353161651	0.6868434738477687	NA
dataset_name-BodenmillerXL_seed-42	gatemeclass[E]	num-3	159648	0.6997292260489774	0.8310265315600092	NA
dataset_name-BodenmillerXL_seed-42	gatemeclass[E]	num-4	160075	0.6943017884047045	0.8146050182171392	NA
dataset_name-BodenmillerXL_seed-42	gatemeclass[E]	num-5	157517	0.6917729582229464	0.8263621680932962	NA
dataset_name-BodenmillerXL_seed-42	gatemeclass[V]	num-1	162079	0.48047752787532455	0.6618380318987415	NA
dataset_name-BodenmillerXL_seed-42	gatemeclass[V]	num-2	157208	0.4617240644606627	0.6845285257890255	NA
dataset_name-BodenmillerXL_seed-42	gatemeclass[V]	num-3	159648	0.4834124934639606	0.6444217345758234	NA
dataset_name-BodenmillerXL_seed-42	gatemeclass[V]	num-4	160075	0.4438187735290659	0.6554432431840697	NA
dataset_name-BodenmillerXL_seed-42	gatemeclass[V]	num-5	157517	0.41871949936109865	0.592177323068523	NA
dataset_name-BodenmillerXL_seed-42	knn	num-1	162079	0.8040689339556458	0.8576569287607798	NA
dataset_name-BodenmillerXL_seed-42	knn	num-2	157208	0.8166267380981964	0.8704610728324887	NA
dataset_name-BodenmillerXL_seed-42	knn	num-3	159648	0.8086266144377804	0.8663300145094538	NA
dataset_name-BodenmillerXL_seed-42	knn	num-4	160075	0.798774339895532	0.8619759955444014	NA
dataset_name-BodenmillerXL_seed-42	knn	num-5	157517	0.8074675678614897	0.8584975549851307	NA
dataset_name-BodenmillerXL_seed-42	lda	num-1	162079	0.8425357659904259	0.87170374682268	NA
dataset_name-BodenmillerXL_seed-42	lda	num-2	157208	0.8434733825699127	0.8768086729168459	NA
dataset_name-BodenmillerXL_seed-42	lda	num-3	159648	0.8415303960906312	0.8635137825414669	NA
dataset_name-BodenmillerXL_seed-42	lda	num-4	160075	0.8380765493428177	0.8682236383478763	NA
dataset_name-BodenmillerXL_seed-42	lda	num-5	157517	0.8314088433285747	0.8667108542138765	NA
dataset_name-BodenmillerXL_seed-42	random	num-1	162079	0.10311050259709943	0.15843177897120447	NA
dataset_name-BodenmillerXL_seed-42	random	num-2	157208	0.10411100350732624	0.1594421812148564	NA
dataset_name-BodenmillerXL_seed-42	random	num-3	159648	0.10377542901298428	0.15939213862751223	NA
dataset_name-BodenmillerXL_seed-42	random	num-4	160075	0.10477292661557049	0.15882800777770917	NA
dataset_name-BodenmillerXL_seed-42	random	num-5	157517	0.10514479817177942	0.1594560502772199	NA
dataset_name-FR-FCM-Z238_seed-42	cyanno	num-1	2400492	0.7952802426802872	0.855487887411501	NA
dataset_name-FR-FCM-Z238_seed-42	cyanno	num-2	2351561	0.7630188949479874	0.8601122662643634	NA
dataset_name-FR-FCM-Z238_seed-42	cyanno	num-3	2403060	0.746575501908175	0.758275746159855	NA
dataset_name-FR-FCM-Z238_seed-42	cyanno	num-4	2390998	0.7503246459161734	0.7691992728394568	NA
